,Unnamed: 0,calories,calfromfat,fat,satfat,transfat,cho,sodium,charbo,dietfac,sugar,protein,brand
0,5 React Fruit Slurpee,66,?,?,?,?,0mg,6mg,18g,0g,18g,0g,7-Eleven
1,Black Iced Coffee,5,?,?,?,?,0mg,25mg, 1g,0g,?,0g,7-Eleven
2,Blue Lightning Blast Slurpee,70,?,?,?,?,0mg,20mg,18g,0g,18g,0g,7-Eleven
3,Cherry Orange Blitz Slurpee,110,?,?,?,?,0mg,25mg,28g,0g,27g,0g,7-Eleven
4,Coca Cola Classic Slurpee,179,?,?,?,?,0mg,16mg,49g,0g,49g,0g,7-Eleven
5,Dr Pepper Slurpee,412,?,?,?,?,0mg,96mg,115g,0g,113g,0g,7-Eleven
6,Fanta Banana Slurpee,69,?,?,?,?,0mg,5mg,19g,0g,19g,0g,7-Eleven
7,Fanta Blue Raspberry Slurpee,65,?,?,?,?,0mg,5mg,17g,0g,17g,0g,7-Eleven
8,Fanta Cherry Limeade Slurpee Lite,21,?,?,?,?,0mg,0mg,8g,5g,?,0g,7-Eleven
9,Fanta Grape Slurpee,67,?,?,?,?,0mg,14mg,18g,0g,18g,0g,7-Eleven
10,Fanta Mango Passionfruit Slurpee Lite,20,?,?,?,?,0mg,0mg,6g,0g,?,0g,7-Eleven
11,Fanta Orange Slurpee,66,?,?,?,?,0mg,0mg,18g,0g,18g,0g,7-Eleven
12,Fanta Purple Vanilla Slurpee,67,?,?,?,?,0mg,10mg,18g,?,17g,0g,7-Eleven
13,Fanta Strawberry Banana Slurpee Lite,20,?,?,?,?,0mg,0mg,8g,5g,?,0g,7-Eleven
14,Fanta Winter White Mixed Berry Slurpee Lite,20,?,?,?,?,0mg,5mg,8g,5g,?,0g,7-Eleven
15,French Vanilla Iced Coffee,140,45,5g,2g,?,10mg,190mg,26g,0g,25g,3g,7-Eleven
16,Hazelnut Iced Coffee,55,?,?,?,?,0mg,10mg,13g,0g,12g,0g,7-Eleven
17,Mango Melody Slurpee,70,?,?,?,?,0mg,14mg,18g,0g,18g,0g,7-Eleven
18,Mocha Iced Coffee,140,27,3g,2g,?,10mg,250mg,26g, 0g,25g,3g,7-Eleven
19,Mountain Dew Blue Shock Slurpee,60,?,?,?,?,0mg,20mg,15g,0g,15g,0g,7-Eleven
20,Mountain Dew Freeze Slurpee,60,?,?,?,?,0mg,20mg,16g,0g,16g,0g,7-Eleven
21,Mountain Dew Game Fuel Slurpee,60,?,?,?,?,0mg,20mg,17g,0g,17g,0g,7-Eleven
22,Peach Dragon Fruit Slurpee,84,?,?,?,?,0mg,389mg,18g,0g,?,0g,7-Eleven
23,Red Apple Chill Slurpee,60,?,?,?,?,0mg,14mg,17g,0g,17g,0g,7-Eleven
24,"Slurpee, Average Other Fanta Flavor",65,?,?,?,?,0mg,5mg,17g,0g,17g,0g,7-Eleven
25,Snow Fruit Slurpee,70,?,?,?,?,0mg,11mg,17g,0g,17g,0g,7-Eleven
26,Sprite Cranberry Slurpee Lite,20,?,?,?,?,0mg,0mg,6g,5g,?,0g,7-Eleven
27,Sprite Slurpee Lite,20,?,?,?,?,0mg,0mg,7g,5g,?,0g,7-Eleven
28,Sprite Snowball Blast Slurpee,60,?,?,?,?,0mg,14mg,16g,0g,16g,0g,7-Eleven
29,Wicked Apple Slurpee,60,?,?,?,?,0mg,20mg,17g,0g,17g,0g,7-Eleven
30,"Breakfast Bite Hot Dog, frank only",250,189,21g,8g,?,85mg,990mg,2g ,0g,?,12g,7-Eleven
31,Sausage Biscuit Breakfast Sandwich,330,198,22g,9g,?,20mg,840mg,28g,1g,2g,8g,7-Eleven
32,Sausage Egg & Cheese Biscuit Breakfast Sandwich,460,288,32g,12g,?,165mg,1210mg,31g,1g,2g,14g,7-Eleven
33,Sausage Egg & Cheese Croissant Breakfast Sandwich,410,270,30g,12g,?,170mg,720mg,20g,1g,2g,14g,7-Eleven
34,Sausage Egg & Cheese English Muffin Breakfast Sandwich,390,225,25g,9g,?,165mg,750mg,24g,2g,1g,15g,7-Eleven
35,Bean & Cheese Burrito,640,189,21g,5g,?,10mg,1520mg,94g,11g,1g,19g,7-Eleven
36,Beef & Bean Burrito,720,279,31g,10g,?,35mg,1420mg,89g,8g,2g,21g,7-Eleven
37,"Beef, Bean & Green Chile Burrito",720,279,31g,10g,?,35mg,1380mg,89g,8g,2g,21g,7-Eleven
38,Red Hot Beef Burrito,670,270,30g,10g,?,40mg,1760mg,83g,5g,4g,18g,7-Eleven
39,Buffalo Chicken Roller,190,63,7g,3g,?,30mg,880mg,16g,1g,2g,15g,7-Eleven
40,Chicken Tenders,160,45,5g,1g,?,35mg,330mg,11g,0g,?,16g,7-Eleven
41,Corn Dog Roller,320,189,21g,7g,?,35mg,840mg,23g,3g,5g,10g,7-Eleven
42,Hash Browns,100,45,5g,2g,?,0mg,330mg,12g,1g,1g,1g,7-Eleven
43,Maple Pancake Sausage Roller,270,171,19g,6g,?,35mg,530mg,19g,1g,4g,9g,7-Eleven
44,Spicy Wing Zings,80,45,5g,1g,?,25mg,480mg,3g,0g,?,6g,7-Eleven
45,Pepperoni Pizza,300,126,14g,7g,?,30mg,720mg,30g,2g,2g,14g,7-Eleven
46,BLT Salad,270,162,18g,4g,?,40mg,910mg,12g,3g,3g,16g,7-Eleven
47,Chicken Caesar Salad,390,252,28g,7g,?,55mg,1060mg,17g,2g,4g,16g,7-Eleven
48,Garden Side Salad,30,?,?,?,?,0mg,30mg,7g,3g,3g,2g,7-Eleven
49,Very Berry Salad,210,135,15g,2g,?,15mg,370mg,12g ,3g,6g,8g,7-Eleven
50,"Big Bite Hot Dog, frank only",180,153,17g,7g,?,30mg,570mg,1g,0g,1g,6g,7-Eleven
51,"Cheeseburger Bite Hot Dog, frank only",440,342,38g,17g,2g,120mg,330mg,2g,0g,2g,21g,7-Eleven
52,Chicken Salad Sandwich,400,126,14g,3g,?,50mg,840mg,44g,2g,6g,18g,7-Eleven
53,New Cilantro Lime Flatbread Sandwich,570,225,25g,5g,?,80mg,970mg,51g,4g,5g,36g,7-Eleven
54,"Quarter Pound Big Bite Hot Dog, frank only",360,306,34g,14g,?,60mg,1140mg,2g,0g,2g,11g,7-Eleven
55,Smart Turkey Sandwich,300,27,3g,2g,?,35mg,950mg,48g,3g,8g,15g,7-Eleven
56,"Smokie Bite Hot Dog, frank only",420,342,38g,15g,?,95mg,1500mg,2g,0g,2g,19g,7-Eleven
57,Southwest Turkey Sandwich,560,252,28g,7g,?,60mg,1360mg,48g,2g,7g,19g,7-Eleven
58,"Spicy Bite Hot Dog, frank only",270,216,24g,9g,?,55mg,910mg,2g,0g,1g,11g,7-Eleven
59,"Bacon, Egg, Cheese & Potato Taquito",190,72,8g,2g,?,15mg,350mg,23g,0g,1g,6g,7-Eleven
60,Buffalo Chicken Taquito,180,72,8g,2g,?,15mg,470mg,22g,1g,1g,6g,7-Eleven
61,Jalapeno Cream Cheese Taquito,240,117,13g,6g,?,30mg,320mg,27g,1g,1g,5g,7-Eleven
62,Monterey Jack & Chicken Taquito,280,126,14g,5g,?,20mg,780mg,30g,3g,1g,7g,7-Eleven
63,Steak & Cheese Taquito,210,99,11g,3g,?,20mg,470mg,22g,1g,1g,6g,7-Eleven
64,Taco & Cheese Taquito,250,99,11g,3g,?,15mg,680mg,30g,3g,1g,7g,7-Eleven
65,Bleu Cheese Dressing for Wings,220,198,22g,4g,0g,20mg,240mg,3g,0g,1g,1g,Applebee's
66,Boneless Wings,681,315,35g,6g,0g,90mg,1600mg,52g,4g,2g,39g,Applebee's
67,Brew Pub Pretzels & Beer Cheese Dip,1201,423,47g,14g,1g,50mg,4460mg,154g,7g,19g,38g,Applebee's
68,Brisket Quesadilla,951,549,61g,27g,2g,130mg,2450mg,61g,4g,6g,40g,Applebee's
69,Cheeseburger Eggrolls,981,540,60g,20g,2g,95mg,2340mg,77g,6g,18g,32g,Applebee's
70,Chicken Wonton Tacos,571,243,27g,6g,0g,120mg,1550mg,46g,3g,16g,36g,Applebee's
71,Chipotle Lime Chicken Quesadillas,901,504,56g,25g,2g,135mg,2460mg,61g,5g,5g,39g,Applebee's
72,Chips & Salsa,621,243,27g,5g,0g,0mg,2380mg,87g,8g,7g,10g,Applebee's
73,Classic Combo with Brisket Quesadilla,2282,1188,132g,43g,2g,185mg,6150mg,191g,13g,14g,84g,Applebee's
74,Classic Combo without Sauce or Dressing,2262,1161,129g,42g,2g,185mg,6160mg,190g,13g,14g,84g,Applebee's
75,Crunchy Onion Rings,1291,522,58g,10g,0g,5mg,3180mg,179g,11g,56g,15g,Applebee's
76,Double Crunch Bone-In wings,630,350,39g,9g,0g,280mg,1640mg,8g,2g,1g,62g,Applebee's
77,French Fries Basket,681,288,32g,6g,0g,5mg,1520mg,91g,7g,1g,8g,Applebee's
78,Neighborhood Nachos with Chipotle Lime Chicken,1840,1070,119g,49g,1.5g,290mg,4980mg,119g,11g,12g,78g,Applebee's
79,"Spinach & Artichoke Dip, with Salsa & Chips",931,513,57g,15g,0g,25mg,2630mg,88g,6g,5g,18g,Applebee's
80,Taco Topped Queso & Chips,1131,594,66g,28g,2g,110mg,3530mg,91g,7g,7g,43g,Applebee's
81,White Queso Dip & Chips,920,480,53g,20g,.5g,80mg,2660mg,83g,5g,7g,27g,Applebee's
82,Brunch Burger,1241,720,80g,29g,3g,360mg,2380mg,64g,5g,13g,65g,Applebee's
83,Classic Bacon Cheeseburger,881,495,55g,18g,2g,165mg,1230mg,46g,3g,8g,50g,Applebee's
84,Classic Burger,781,432,48g,16g,2g,135mg,940mg,45g,3g,7g,42g,Applebee's
85,Classic Cheeseburger,781,432,48g,16g,2g,135mg,940mg,45g,3g,7g,42g,Applebee's
86,Quesadilla Burger,1331,837,93g,38g,3g,240mg,3000mg,50g,6g,7g,74g,Applebee's
87,Triple Bacon Burger,1171,711,79g,29g,2g,230mg,1780mg,51g,3g,11g,65g,Applebee's
88,Whisky Bacon Burger,1291,756,84g,30g,2g,210mg,1870mg,72g,4g,18g,62g,Applebee's
89,"Blue Ribbon Brownie, with Vanilla Ice Cream",1522,585,65g,36g,0g,225mg,640mg,211g,2g,147g,26g,Applebee's
90,Brownie Bite with Vanilla Ice Cream,350,135,15g,9g,0g,45mg,140mg,51g,1g,35g,5g,Applebee's
91,Chocolate Chip Cookie Sundae,1411,594,66g,40g,1g,160mg,780mg,187g,5g,123g,21g,Applebee's
92,Hot Fudge Sundae Shooter,410,180,20g,14g,0g,65mg,160mg,51g,0g,39g,6g,Applebee's
93,Oreo Cookie Shake,870,396,44g,25g,.5g,135mg ,440mg,107g,1g,75g,16g,Applebee's
94,Southwestern Apple Fritter with Vanilla Ice Cream,1321,639,71g,21g,0g,55mg,660mg,158g,4g,95g,15g,Applebee's
95,Triple Chocolate Meltdown with Vanilla Ice Cream,1071,504,56g,9g,0g,15mg,450mg,126g,8g,71g,15g,Applebee's
96,Crispy Orange Chicken Bowl,1450,430,47g,8g,0g,105mg,3940mg,203g,9g,80g,54g,Applebee's
97,Crispy Orange Shrimp Bowl,1160,280,31g,5g,0g,115mg,3610mg,190g,8g,81g,30g,Applebee's
98,Grilled Chicken & Spinach Alfredo Bowl,1440,790,88g,43g,2g,330mg,3240mg,78g,6g,10g,88g,Applebee's
99,Homestyle Chicken Bowl,1590,870,97g,26g,1g,165mg,3740mg,120g,11g,7g,62g,Applebee's
100,Southwest Chicken Bowl,820,260,29g,5g,0g,130mg,2430mg,90g,10g,6g,54g,Applebee's
101,Southwest Steak Bowl,860,350,39g,9g,.5g,70mg,2350mg,90g,10g,6g,42g,Applebee's
102,Tex-Mex Shrimp Bowl,710,240,27g,4.5g,0g,165mg,2170mg,91g,10g,6g,30g,Applebee's
103,Kid's Apple Juice,100,0,0g,0g,0g,0mg,15mg,25g,0g,23g,0g,Applebee's
104,Kid's Applesauce Cup,60,0,0g,0g,0g,0mg,0mg,14g,1g,12g,0g,Applebee's
105,Kid's Broccoli Trees,30,0,0g,0g,0g,0mg,30mg,6g,3g,2g,3g,Applebee's
106,Kid's Cheeseburger,621,333,37g,13g,1g,105mg,1240mg,43g,2g,7g,30g,Applebee's
107,Kid's Cheesy Pizza,681,261,29g,13g,0g,40mg,1160mg,83g,4g,12g,25g,Applebee's
108,Kid's Chicken Alfredo,711,414,46g,29g,2g,205mg,1430mg,40g,2g,4g,36g,Applebee's
109,Kid's Chicken Quesadilla,370,162,18g,8g,0g,50mg,760mg,35g,2g,1g,18g,Applebee's
110,Kid's Chicken Taco,240,72,8g,4g,0g,75mg,600mg,20g,1g,1g,21g,Applebee's
111,Kid's Chicken Tenders,300,144,16g,3g,0g,40mg,820mg,22g,1g,0g,18g,Applebee's
112,Kid's Chocolate Milk,160,27,3g,2g,0g,10mg,220mg,27g,0g,25g,8g,Applebee's
113,Kid's Chocolate Shake,821,288,32g,18g,0g,130mg,340mg,118g,2g,95g,19g,Applebee's
114,Kid's Corn Dog,200,90,10g,3g,0g,35mg,580mg,19g,1g,5g,7g,Applebee's
115,Kid's Crispy Shrimp,170,81,9g,2g,0g,60mg,530mg,15g,1g,1g,9g,Applebee's
116,Kid's French Fries,430,180,20g,4g,0g,0mg,960mg,57g,4g,0g,5g,Applebee's
117,Kid's Garlic Mashed Potatoes,130,54,6g,1g,0g,0mg,320mg,17g,2g,2g,2g,Applebee's
118,Kid's Grape Juice,100,0,0g,0g,0g,0mg,15mg,25g,0g,23g,0g,Applebee's
119,Kid's Hot Fudge Sundae,400,180,20g,14g,0g,65mg,160mg,50g,0g,37g,6g,Applebee's
120,Kid's Lemonade,90,0,0g,0g,0g,0mg,0mg,23g,0g,21g,0g,Applebee's
121,Kid's Macaroni & Cheese,300,81,9g,3g,0g,10mg,650mg,44g,2g,8g,10g,Applebee's
122,Kid's Mozzarella Sticks,340,153,17g,7g,0g,30mg,1070mg,31g,2g,5g,16g,Applebee's
123,Kid's Orange Tangerine Juice,110,0,0g,0g,0g,0mg,15mg,27g,0g,25g,0g,Applebee's
124,Kid's Oreo Cookie Shake,791,342,38g,20g,0g,130mg,450mg ,95g,1g,70g,19g,Applebee's
125,Kid's Oreo Sundae,400,189,21g,12g,0g,65mg,190mg,48g,1g,34g,7g,Applebee's
126,Kid's Strawberry Shake,811,279,31g,18g,0g,130mg,310mg,116g,0g,98g,18g,Applebee's
127,Kid's Strawberry Sundae,360,135,15g,9g,0g,65mg,105mg,51g,0g,43g,6g,Applebee's
128,Kid's Vanilla Shake,631,279,31g,18g,0g,130mg,310mg,71g,0g,56g,18g,Applebee's
129,Kid's Vanilla Yogurt with Strawberries,100,18,2g,1g,0g,5mg,55mg,17g,1g,16g,4g,Applebee's
130,Kidf's 1% Milk,110,27,3g,2g,0g,10mg,130mg,13g,0g,12g,8g,Applebee's
131,Blackened Tilapia,500,216,24g,10g,0g,100mg,1550mg,43g,8g,4g,32g,Applebee's
132,Bourbon Street Chicken & Shrimp,780,390,43g,10g,.5g,225mg,2580mg,48g,6g,6g,55g,Applebee's
133,Cedar Grilled Lemon Chicken,600,234,26g,5g,0g,135mg,2680mg,51g,5g,16g,43g,Applebee's
134,Chicken Fried Chicken,1181,549,61g,16g,1g,150mg,2810mg,103g,9g,6g,59g,Applebee's
135,Chicken Tenders Plate,1151,576,64g,11g,0g,80mg,2800mg,109g,7g,13g,36g,Applebee's
136,Chicken Tenders Platter,1461,720,80g,14g,0g,105mg,3490mg,135g,9g,22g,49g,Applebee's
137,Chicken Wonton Stir Fry,791,180,20g,4g,0g,135mg,2790mg,104g,7g,24g,51g,Applebee's
138,Classic Three Cheese Chicken Penne,490,225,25g,15g,1g,140mg,1210mg,34g,3g,3g,32g,Applebee's
139,Fiesta Lime Chicken,1170,550,61g,14g,1g,175mg,3740mg,97g,6g,8g,60g,Applebee's
140,Grilled Chicken Breast,190,25,3g,1g,0g,130mg,860mg,0g,0g,0g,40g,Applebee's
141,Shrimp 'N Parmesan Sirloin Steak,621,378,42g,23g,2g,270mg,2570mg,7g,2g,2g,57g,Applebee's
142,Shrimp Wonton Stir Fry,681,153,17g,3g,0g,150mg,220mg,106g,7g,24g,28g,Applebee's
143,"Signature Southwest Chicken Salad, with Oriental Dressing",500,270,30g,7g,0g,90mg,1290mg,32g,5g,4g,27g,Applebee's
144,American Cheese,140,108,12g,7g,0g,35mg,680mg,1g,0g,1g,7g,Applebee's
145,Bacon,100,70,7g,2.5g,0g,20mg,310mg,1g,0g,1g,7g,Applebee's
146,Beef Patty,410,280,31g,13g,1.5g,95mg,290mg,1g,0g,0g,32g,Applebee's
147,Black Bean Patty,190,63,7g,1g,0g,0mg,540mg,22g,8g,2g,17g,Applebee's
148,Breadstick,190,63,7g,2g,0g,5mg,290mg,25g,1g,2g,5g,Applebee's
149,Cheddar Cheese,170,126,14g,9g,0g,45mg,260mg,1g,0g,0g,10g,Applebee's
150,Fried Egg,70,45,5g,2g,0g,160mg,170mg,1g,0g,0g,6g,Applebee's
151,Fried Shrimp,511,306,34g,6g,0g,100mg,1750mg,37g,3g,14g,13g,Applebee's
152,Grilled Shrimp,150,72,8g,4g,0g,150mg,980mg,5g,1g,1g,15g,Applebee's
153,Grilled Shrimp Skewer,120,81,9g,4g,0g,115mg,520mg,1g,0g,0g,10g,Applebee's
154,Pepper Jack Cheese,160,117,13g,8g,0g,35mg,270mg,1g,0g,0g,10g,Applebee's
155,Swiss Cheese,170,117,13g,8g,0g,40mg,80mg,1g,0g,0g,11g,Applebee's
156,Turkey Patty,340,243,27g,8g,0g,90mg,740mg,0g,0g,0g,24g,Applebee's
157,Veggie Patty,170,54,6g,0g,0g,0mg,310mg,21g,5g,2g,7g,Applebee's
158,Blackened Shrimp Alfredo Pasta,1161,657,73g,45g,3g,365mg,2810mg,80g,8g,8g,52g,Applebee's
159,Classic Broccoli Chicken Alfredo Pasta,1271,684,76g,47g,3g,365mg,2950mg,78g,8g,8g,75g,Applebee's
160,Classic Chicken Parmesan,1381,513,57g,18g,1g,175mg,2970mg,136g,13g,19g,84g,Applebee's
161,Creamy Penne Pasta with Sliced Prime Rib,1391,873,97g,53g,3g,260mg,3170mg,81g,6g,12g,53g,Applebee's
162,Stuffed Rigatoni,881,297,33g,15g,1g,100mg,2450mg,103g,13g,14g,48g,Applebee's
163,Three Cheese Chicken Penne,1171,621,69g,42g,25g,340mg,2860mg,72g,5g,8g,69g,Applebee's
164,Bleu Cheese Salad Dressing,220,198,22g,4g,0g,20mg,240mg,3g,0g,1g,1g,Applebee's
165,Buttermilk Ranch Salad Dressing,200,180,20g,3g,0g,15mg,320mg,3g,0g,1g,1g,Applebee's
166,Chili Lime Vinaigrette,120,63,7g,1g,0g,0mg,470mg,14g,1g,10g,0g,Applebee's
167,Dijon Honey Mustard Salad Dressing,220,153,17g,3g,0g,10mg,480mg,15g,1g,12g,1g,Applebee's
168,Fat-Free Italian Salad Dressing,20,0,0g,0g,0g,0mg,360mg,5g,0g,3g,0g,Applebee's
169,Garlic Caesar Salad Dressing,210,198,22g,4g,0g,15mg,320mg,3g,0g,1g,1g,Applebee's
170,Green Goddess Salad Dressing,190,180,20g,4g,0g,15mg,440mg,2g,0g,1g,1g,Applebee's
171,Honey French Salad Dressing,210,153,17g,3g,0g,0mg,330mg,15g,0g,14g,0g,Applebee's
172,Lemon Olive Oil Vinaigrette,130,126,14g,3g,0g,0mg,350mg,0g,0g,0g,0g,Applebee's
173,Mexi-Ranch Salad Dressing,150,126,14g,3g,0g,10mg,530mg,4g,1g,2g,1g,Applebee's
174,Oriental Salad Dressing,250,189,21g,3g,0g,0mg,90mg,16g,0g,11g,0g,Applebee's
175,Blackened Shrimp Caesar Salad with Garlic Caesar Dressing,661,459,51g,10g,0g,190mg,1830mg,27g,7g,6g,25g,Applebee's
176,Buffalo Chicken Wedge Salad,1120,720,80g,17g,1g,95mg,3080mg,69g,8g,11g,35g,Applebee's
177,Crispy Chicken Tender Salad with Honey Dijon Mustard Dressing,1181,711,79g,21g,1g,315mg,2480mg,71g,7g,29g,48g,Applebee's
178,Fiesta Chicken Chopped Salad with dressing,831,369,41g,11g,1g,100mg,1330mg,80g,12g,21g,36g,Applebee's
179,Grilled Chicken Caesar Salad with Garlic Caesar Dressing,771,495,55g,11g,0g,175mg,2010mg,26g,7g,6g,47g,Applebee's
180,Grilled Chicken Salad with Honey Dijon Mustard Dressing,961,558,62g,18g,1g,400mg,2470mg,42g,6g,29g,61g,Applebee's
181,Grilled Steak Caesar Salad with dressing,721,504,56g,12g,1g,105mg,1740mg,26g,6g,6g,31g,Applebee's
182,Oriental Crispy Chicken Chicken Salad with Oriental Vinaigrette,1441,873,97g,15g,0g,50mg,1640mg,110g,11g,37g,36g,Applebee's
183,Oriental Grilled Chicken Salad with Oriental Vinaigrette,1311,756,84g,13g,0g,135mg,2240mg,94g,10g,47g,51g,Applebee's
184,Quesadilla Chicken Salad,1230,650,73g,20g,1g,200mg,3440mg,80g,11g,14g,66g,Applebee's
185,Southwest Grilled Chicken Salad with House-Made Cilantro Ranch Dressing,1011,549,61g,15g,1g,175mg,2580mg,64g,11g,8g,54g,Applebee's
186,Southwest Steak Salad with House-Made Cilantro Ranch Dressing,961,558,62g,16g,1g,105mg,1910mg,63g,11g,8g,38g,Applebee's
187,Thai Shrimp Salad with Thai Peanut Sauce & Chile-Lime Vinaigrette,390,171,19g,3g,0g,150mg,1460mg,30g,8g,14g,26g,Applebee's
188,Bacon Cheddar Grilled Chicken Sandwich,891,432,48g,17g,0g,235mg,2420mg,49g,3g,11g,65g,Applebee's
189,Chicken Fajita Rollup,1091,585,65g,27g,2g,215mg,3480mg,67g,5g,8g,60g,Applebee's
190,Clubhouse Grille Sandwich,1061,540,60g,17g,1g,125mg,2700mg,79g,6g,24g,52g,Applebee's
191,Grilled Chicken Bacon Wrap,771,243,27g,10g,0g,190mg,3400mg,73g,3g,21g,60g,Applebee's
192,Zesty Chicken Sandwich,881,468,52g,11g,0g,90mg,2550mg,69g,4g,8g,34g,Applebee's
193,Buffalo Sauce for wings,180,171,19g,7g,0g,0mg,2300mg,4g,1g,0g,0g,Applebee's
194,Classic Buffalo Sauce for Combo,200,190,21g,8g,0g,0mg,2610mg,2g,0g,0g,1g,Applebee's
195,Honey BBQ Sauce for Combo,110,0,0g,0g,0g,0mg,450mg,28g,2g,22g,1g,Applebee's
196,Honey BBQ Sauce for wings,230,9,1g,0g,0g,0mg,900mg,55g,5g,43g,1g,Applebee's
197,Ranch Dressing for Wings & Classic Combo,150,140,15g,2.5g,0g,10mg,330mg,3g,0g,2g,1g,Applebee's
198,Sweet Asian Chile Sauce for Combo,130,9,1g,0g,0g,0mg,760mg,28g,1g,11g,1g,Applebee's
199,Sweet Asian Chile Sauce for wings,250,18,2g,0g,0g,0mg,1520mg,55g,2g,21g,3g,Applebee's
200,Baked Haddock,591,360,40g,18g,2g,195mg,890mg,12g,2g,3g,45g,Applebee's
201,Cedar Salmon with Maple Mustard Glaze,350,90,10g,2g,0g,95mg,1660mg,28g,2g,18g,37g,Applebee's
202,"Double Crunch Shrimp, with Fries & Slaw",1321,666,74g,13g,0g,200mg,3700mg,130g,9g,25g,33g,Applebee's
203,Baked Potato,530,270,31g,17g,1g,75mg,1120mg,59g,4g,4g,9g,Applebee's
204,"Caesar Side Salad, with dressing",220,162,18g,4g,0g,15mg,36mg,11g,2g,2g,4g,Applebee's
205,Classic Fries,430,180,20g,3.5g,0g,0mg,960mg,57g,4g,0g,5g,Applebee's
206,Fire-Grilled Veggies,150,110,12g,5g,0g,15mg,420mg,9g,3g,6g,2g,Applebee's
207,Four-Cheese Mac & Cheese with Bacon,490,252,28g,15g,1g,85mg,1200mg,35g,2g,3g,24g,Applebee's
208,Fries,430,180,20g,4g,0g,0mg,970mg,57g,4g,0g,5g,Applebee's
209,Garlic Mashed Potatoes,280,130,14g,3g,0g,5mg,780mg,37g,4g,2g,5g,Applebee's
210,Garlicky Green Beans,160,120,13g,3.5g,0g,5mg,350mg,10g,3g,2g,2g,Applebee's
211,Green Goddess Wedge Side Salad,540,459,51g,11g,0g,55mg,1140mg,12g,3g,7g,10g,Applebee's
212,House Salad,120,54,6g,3g,0g,15mg,190mg,12g,2g,3g,6g,Applebee's
213,Loaded Baked Potato,590,320,35g,19g,1g,90mg,1280mg,59g,4g,4g,13g,Applebee's
214,Loaded Garlic Mashed Potatoes,460,270,30g,12g,0g,55mg,960mg,40g,4g,5g,11g,Applebee's
215,Mixed Green Salad,70,18,2g,0g,0g,0mg,100mg,11g,2g,3g,2g,Applebee's
216,Onion Rings,531,252,28g,5g,0g,0mg,1140mg,62g,3g,6g,7g,Applebee's
217,Small Caesar Side Salad with dressing,210,162,18g,4g,0g,15mg,350mg,10g,2g,2g,4g,Applebee's
218,Steamed Broccoli,100,70,8g,4.5g,0g,20mg,280mg,6g,3g,2g,3g,Applebee's
219,Broccoli Cheese Soup,280,198,22g,14g,1g,75mg,1340mg,12g,2g,5g,11g,Applebee's
220,Chicken Tortilla Soup,280,130,15g,4g,0g,35mg,940mg,25g,3g,2g,12g,Applebee's
221,Chili,410,225,25g,12g,1g,105mg,980mg,12g,2g,6g,34g,Applebee's
222,French Onion Soup,330,180,20g,11g,0g,50mg,1400mg,22g,2g,6g,16g,Applebee's
223,Loaded Potato Soup,390,297,33g,21g,1g,50mg,790mg,13g,2g,3g,9g,Applebee's
224,New England Clam Chowder,190,117,13g,8g,0g,30mg,770mg,12g,1g,1g,5g,Applebee's
225,Portsmouth Clam Chowder,160,63,7g,5g,0g,35mg,530mg,18g,2g,4g,5g,Applebee's
226,Tomato Basil Soup,180,99,11g,5g,0g,25mg,1050mg,16g,1g,9g,5g,Applebee's
227,BBQ Brisket Tacos,1161,603,67g,19g,2g,100mg,2860mg,108g,7g,29g,37g,Applebee's
228,Chili & Cheese Topping for Fries,240,144,16g,8g,1g,50mg,820mg,9g,2g,4g,17g,Applebee's
229,Crispy Onion Tanglers,190,126,14g,3g,0g,0mg,125mg,14g,1g,2g,2g,Applebee's
230,Grilled Onions Toppers,45,27,3g,1g,0g,0mg,280mg,5g,1g,2g,1g,Applebee's
231,Sauteed Garlic Mushrooms Toppers,170,135,15g,7g,0g,25mg,430mg,6g,1g,2g,3g,Applebee's
232,Shrimp N Parm Toppers,280,216,24g,16g,1g,145mg,930mg,4g,1g,1g,13g,Applebee's
233,Arby's Melt,330,110,12g,4.0g,.5g,35mg,940mg,39g,2g,5g,18g,Arby's
234,Arby-Q Sandwich,400,100,11g,3.5g,.5g,30mg,1250mg,58g,3g,23g,18g,Arby's
235,Beef 'n Cheddar Classic,450,180,20g,6g,1g,50mg,1280mg,45g,2g,9g,23g,Arby's
236,Beer Battered Fish Sandwich,600,210,23g,4g,0g,65mg,1820mg,73g,5g,14g,25g,Arby's
237,Brisket Bacon Flatbread,700,350,38g,13g,1g,110mg,1430mg,49g,3g,7g,40g,Arby's
238,Buffalo Roast Chicken Sandwich,360,130,14g,3.5g,0g,65mg,1490mg,36g,3g,7g,24g,Arby's
239,Chicken Cheddar Ranch Sandwich,610,270,30g,8g,0g, 65mg,1400mg,58g,4g,7g,43g,Arby's
240,Classic Roast Beef,360,120,14g,5.0g,0.5g,50mg,970mg,37g,2g,5g,23g,Arby's
241,Classic Roast Chicken Sandwich,370,140,16g,3.5g,0g,65mg,860mg,35g,3g,7g,24g,Arby's
242,Country Style Pork Rib Sandwich,500,210,23g,7g,0g,70mg,1450mg,48g,3g,12g,28g,Arby's
243,Cranberry Deep Fried Turkey Sandwich,820,300,33g,10g,0g,100mg,1180mg,84g,6g,39g,44g,Arby's
244,Cranberry Deep Fried Turkey Wrap,630,270,30g,9g,0g,100mg,1690mg,49g,3g,13g,43g,Arby's
245,Creamy Mediterranean Wrap,550,270,30g,5g,0g,80mg,1240mg,41g,3g,5g,32g,Arby's
